fixture_id,team,formation,coach,players,isHome,rating,opponent,opponent_formation,opponent_coach,opponent_players,opponent_rating,season,date,venue,status,round,team_goals,opponent_goals,pts,opponent_pts,result,last_performance,opponent_last_performance,last_against_performance,opponent_last_against_performance,pts_difference,pts_after,opponent_pts_after,top_scorrer,main_gk,main_captain,opponent_top_scorrer,opponent_main_gk,opponent_main_captain
151695,Al-Ettifaq,4-2-3-1,L. Ramos,"R. M'Bolhi, 'R. Arias', 'Hussein Al Sayed', 'Saeed Al Yami', 'F. Kiss', 'B. Alemán', 'Omar Al Senien', 'C. Guanca', 'F. Ben Youssef', 'Mohammed Al Kuwaykibi', 'Abdulrahman Al Obod'",1,7.0,Al-Raed,4-2-3-1,B. Hasi,"'A. Doukha', 'H. Belkaroui', 'Mohammed Al Amri', 'Abdullah Al Fahad', 'Abdullah Al Shamekh', 'A. Hammoudan', 'Daniel Amora', 'Sultan Al Sawadi', 'Sultan Farhan', 'F. Hasani', 'Saleh Al Shehri'",6.98,2018/2019,2018-08-30 18:40:00,Prince Mohamed Bin Fahd Stadium,Match Finished,1,1.0,1.0,0,0,Draw,6.74,6.81,6.9,6.72,0,1,1,1,1,0,1,0,0
151695,Al-Raed,4-2-3-1,B. Hasi,"'A. Doukha', 'H. Belkaroui', 'Mohammed Al Amri', 'Abdullah Al Fahad', 'Abdullah Al Shamekh', 'A. Hammoudan', 'Daniel Amora', 'Sultan Al Sawadi', 'Sultan Farhan', 'F. Hasani', 'Saleh Al Shehri'",0,6.98,Al-Ettifaq,4-2-3-1,L. Ramos,"R. M'Bolhi, 'R. Arias', 'Hussein Al Sayed', 'Saeed Al Yami', 'F. Kiss', 'B. Alemán', 'Omar Al Senien', 'C. Guanca', 'F. Ben Youssef', 'Mohammed Al Kuwaykibi', 'Abdulrahman Al Obod'",7.0,2018/2019,2018-08-30 18:40:00,Prince Mohamed Bin Fahd Stadium,Match Finished,1,1.0,1.0,0,0,Draw,6.81,6.74,6.72,6.9,0,1,1,1,0,0,1,1,0
151696,Al-Hazm,4-2-3-1,D. Isăilă,"'M. Asselah', 'Alemão', 'Khaled Al Barakah', 'Saif Al Qeshtah', 'Muralha', 'Rodolfo', 'Yousef Qalfa', 'Masood Bekheet', 'J. Pajoy', 'G. Álvarez', 'Faris Al Alayaf'",1,6.97,Al Wehda Club,4-4-2,Fábio Carille,"'Mohamed Awad', 'Osama Hawsawi', 'Renato Chaves', 'Abdullah Al Zoari', 'Waleed Bakshween', 'Anselmo', 'E. Çolak', 'R. Otero', 'Faisal Darwish', 'Marcos Guilherme', 'Saleh Al Jamaan'",6.77,2018/2019,2018-08-30 19:05:00,King Abdul Aziz Stadium,Match Finished,1,0.0,0.0,0,0,Draw,6.82,6.86,6.81,7.02,0,1,1,0,0,0,1,0,0
151696,Al Wehda Club,4-4-2,Fábio Carille,"'Mohamed Awad', 'Osama Hawsawi', 'Renato Chaves', 'Abdullah Al Zoari', 'Waleed Bakshween', 'Anselmo', 'E. Çolak', 'R. Otero', 'Faisal Darwish', 'Marcos Guilherme', 'Saleh Al Jamaan'",0,6.77,Al-Hazm,4-2-3-1,D. Isăilă,"'M. Asselah', 'Alemão', 'Khaled Al Barakah', 'Saif Al Qeshtah', 'Muralha', 'Rodolfo', 'Yousef Qalfa', 'Masood Bekheet', 'J. Pajoy', 'G. Álvarez', 'Faris Al Alayaf'",6.97,2018/2019,2018-08-30 19:05:00,King Abdul Aziz Stadium,Match Finished,1,0.0,0.0,0,0,Draw,6.86,6.82,7.02,6.81,0,1,1,1,0,0,0,0,0
151697,Ohod,4-2-3-1,F. Arce,"'Z. Laaroubi', 'Hussein Abdul Ghani', 'Apodi', 'A. Teikeu', 'E. Sipović', 'Tamer Haj Mohamad', 'C. Ohene', 'Islam Seraj', 'Mohmad Atiah', 'Ribamar', 'Mohameed Eldaw'",1,6.64,Al-Nassr,4-2-3-1,D. Carreño,"'B. Jones', 'Bruno Uvini', 'Omar Hawsawi', 'Giuliano', 'Yehya Al Shehri', 'Petros', 'Ibrahim Ghaleb', 'Hamed Al Mansour', 'Sultan Al Ghanam', 'Mohammad Al Sahlawi', 'A. Musa'",6.83,2018/2019,2018-08-30 19:15:00,Prince Mohammed bin Abdul Aziz Stadium,Match Finished,1,1.0,2.0,0,0,Defeat,6.72,7.01,6.52,7.07,0,0,3,1,0,0,0,0,0
151697,Al-Nassr,4-2-3-1,D. Carreño,"'B. Jones', 'Bruno Uvini', 'Omar Hawsawi', 'Giuliano', 'Yehya Al Shehri', 'Petros', 'Ibrahim Ghaleb', 'Hamed Al Mansour', 'Sultan Al Ghanam', 'Mohammad Al Sahlawi', 'A. Musa'",0,6.83,Ohod,4-2-3-1,F. Arce,"'Z. Laaroubi', 'Hussein Abdul Ghani', 'Apodi', 'A. Teikeu', 'E. Sipović', 'Tamer Haj Mohamad', 'C. Ohene', 'Islam Seraj', 'Mohmad Atiah', 'Ribamar', 'Mohameed Eldaw'",6.64,2018/2019,2018-08-30 19:15:00,Prince Mohammed bin Abdul Aziz Stadium,Match Finished,1,2.0,1.0,0,0,Win,7.01,6.72,7.07,6.52,0,3,0,0,0,0,1,0,0
151698,Al-Qadisiyah FC,4-4-2,A. Stanojević,"'J. Duncan', 'Adnan Falatah', 'R. Williams', 'Mohammed Al Khabrani', 'Yaseen Barnawi', 'Élton', 'Yago', 'N. Hervé', 'Jorginho', 'Bismark', 'Haroune Camara'",1,6.96,Al-Fateh,4-2-3-1,F. Al Jabal,"'M. Koval', 'M. Aguirregaray', 'Majed Hazazi', 'M. Naamani', 'Ali Alawjami', 'T. Nzuzi', 'Mohammed Alfehaid', 'A. Oueslati', 'I. Chenihi', 'Mansour Hamzi', 'Alkhali Bangoura'",7.01,2018/2019,2018-08-31 18:40:00,Prince Saud bin Jalawi Stadium,Match Finished,1,0.0,0.0,0,0,Draw,6.77,6.79,6.72,6.96,0,1,1,1,0,0,1,0,0
151698,Al-Fateh,4-2-3-1,F. Al Jabal,"'M. Koval', 'M. Aguirregaray', 'Majed Hazazi', 'M. Naamani', 'Ali Alawjami', 'T. Nzuzi', 'Mohammed Alfehaid', 'A. Oueslati', 'I. Chenihi', 'Mansour Hamzi', 'Alkhali Bangoura'",0,7.01,Al-Qadisiyah FC,4-4-2,A. Stanojević,"'J. Duncan', 'Adnan Falatah', 'R. Williams', 'Mohammed Al Khabrani', 'Yaseen Barnawi', 'Élton', 'Yago', 'N. Hervé', 'Jorginho', 'Bismark', 'Haroune Camara'",6.96,2018/2019,2018-08-31 18:40:00,Prince Saud bin Jalawi Stadium,Match Finished,1,0.0,0.0,0,0,Draw,6.79,6.77,6.96,6.72,0,1,1,1,0,0,1,0,0
151699,Al-Hilal Saudi FC,4-1-4-1,Jorge Jesus,"'Ali Al Habsi', 'Botía', 'Yasir Al Shahrani', 'Mohammed Al Burayk', 'Ali Albulayhi', 'Omar Abdulrahman', 'Carlos Eduardo', 'A. Carrillo', 'Salem Al Dawsari', 'Mohammed Kanoo', 'B. Gomis'",1,7.07,Al-Fayha,4-3-3,G. Costas,"'C. Bonilla', 'Naldo', 'Gêgê', 'Abdullah Kano', 'Sami Al Khaibari', 'Omar Hamad Al Aowda', 'A. Tziolis', 'Tawfiq Buhumaid', 'D. Moreno', 'Hassen Jaaferi', 'R. Fernández'",6.55,2018/2019,2018-08-31 18:55:00,King Fahd Stadium,Match Finished,1,1.0,0.0,0,0,Win,7.01,6.72,7.03,6.55,0,3,0,1,0,0,1,0,0
151699,Al-Fayha,4-3-3,G. Costas,"'C. Bonilla', 'Naldo', 'Gêgê', 'Abdullah Kano', 'Sami Al Khaibari', 'Omar Hamad Al Aowda', 'A. Tziolis', 'Tawfiq Buhumaid', 'D. Moreno', 'Hassen Jaaferi', 'R. Fernández'",0,6.55,Al-Hilal Saudi FC,4-1-4-1,Jorge Jesus,"'Ali Al Habsi', 'Botía', 'Yasir Al Shahrani', 'Mohammed Al Burayk', 'Ali Albulayhi', 'Omar Abdulrahman', 'Carlos Eduardo', 'A. Carrillo', 'Salem Al Dawsari', 'Mohammed Kanoo', 'B. Gomis'",7.07,2018/2019,2018-08-31 18:55:00,King Fahd Stadium,Match Finished,1,0.0,1.0,0,0,Defeat,6.72,7.01,6.55,7.03,0,0,3,1,0,0,1,0,0
