,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,round,date,season,status,home_coach,home_foramtion,home_players,away_coach,away_formation,away_players,H_avg_ratings,A_avg_ratings
0,635867,Al Shabab,Abha,1.0,0.0,Prince Faisal bin Fahd Stadium,Mohammed Al Hoaish,1,2020-10-17T18:00:00+03:00,2020/2021,Match Finished,,4-4-2,"[('Giedrius Arlauskis', 'G'), ('Mohammed Salem', 'D'), ('Ahmed Sharahili', 'D'), ('Hassan Altambakti', 'D'), ('Khaled Al-Ghamdi', 'D'), (""Alfred N'Diaye"", 'M'), ('Éver Banega', 'M'), ('Cristian Guanca', 'M'), ('Abdullah Al Shamekh', 'M'), ('Makhete Diop', 'F'), ('Sebá', 'F')]",A. Chebbi,4-2-3-1,"[('Abdelali Mhamdi', 'G'), ('Saeed Ali', 'D'), ('Ahmad Al Hbeab', 'D'), ('Amine Attouchi', 'D'), ('Sari Amro', 'D'), ('Riyadh Sharahili', 'M'), ('Karim Aouadhi', 'M'), ('Saleh Al-Amri', 'M'), ('Abdulrahman Al-Barakah', 'M'), ('Craig Goodwin', 'M'), ('Muath Afaneh', 'F')]",,
1,635868,Al Taawon,Al-Faisaly FC,1.0,1.0,King Abdullah bin Abdulaziz City,Faisal Alblwi,1,2020-10-17T18:10:00+03:00,2020/2021,Match Finished,Abdullah Assiri,5-4-1,"[('Cássio', 'G'), ('Faisal Darwish', 'D'), ('Ahmad Asiri', 'D'), ('Iago Santos', 'D'), ('Fahad Al Hamad', 'D'), ('Hassan Kadesh', 'D'), ('Abdoulaye Sane', 'M'), ('Sandro Manoel', 'M'), ('Cedric Amissi', 'M'), ('Mitchell Duke', 'M'), ('Léandre Tawamba', 'F')]",Péricles Chamusca,4-3-3,"[('Mustafa Malaika', 'G'), ('Khaled Daghriri', 'D'), ('Raphael Silva', 'D'), ('Igor Rossi', 'D'), ('Mohammed Qassem', 'D'), ('Ahmed Atalh Alanzy', 'M'), ('Hicham Faik', 'M'), ('Alexander Merkel', 'M'), ('Khalid Al-Kaabi', 'F'), ('Júlio Tavares', 'F'), ('Ismail Omar', 'F')]",,
2,635869,Al Wehda Club,Al-Qadisiyah FC,2.0,1.0,King Abdulaziz Sports City Stadium,Khaled Salwi,1,2020-10-17T20:00:00+03:00,2020/2021,Match Finished,,4-4-2,"[('Abdullah Hussein Al Owisher', 'G'), ('Hamad Al Jayzani', 'D'), ('Alberto Botía', 'D'), ('Pedro Henrique', 'D'), ('Mohammed Al Alamri', 'D'), ('Anselmo', 'M'), ('Mohammed Al Qarni', 'M'), ('Waleed Bakshween', 'M'), ('Luisinho', 'M'), ('Jaber Assiri', 'F'), ('Hernani', 'F')]",,4-3-2-1,"[('Faisal Al-Masrahi', 'G'), ('Hamad Al Tohaifan', 'D'), ('Khalifah Aldawsari', 'D'), ('Rhys Williams', 'D'), ('Adel Al-Mawled', 'D'), ('Stanley Ohawuchi', 'M'), ('Naif Hazzazi', 'M'), ('Hassan Al-Amri', 'M'), ('Hassan Abu Sharara', 'M'), ('Danilo Asprilla', 'M'), ('Carolus Andria', 'F')]",,
3,635870,Al-Hilal Saudi FC,Al-Ain,1.0,0.0,Prince Faisal bin Fahd Stadium,Sultan Al-Harbi,1,2020-10-17T21:15:00+03:00,2020/2021,Match Finished,,4-4-2,"[('Abdullah Al-Mayouf', 'G'), ('Amiri Kurdi', 'D'), ('Mohammed Jahfali', 'D'), ('Ali Al-Boleahi', 'D'), ('Yasir Al-Shahrani', 'D'), ('Ahmed Ashraf', 'M'), ('Gustavo Cuéllar', 'M'), ('Mohamed Kanno', 'M'), ('Hattan Bahebri', 'M'), ('Sebastian Giovinco', 'F'), ('Omar Kharbin', 'F')]",,4-2-3-1,"[('Mohammed Mazyad Alshammari', 'G'), ('Hassan Al-Harbi', 'D'), ('Yahia Al-Kabie', 'D'), ('Mohammed Nahiri', 'D'), ('Saif Hussain', 'D'), ('Omar Al-Suhaymi', 'M'), ('Saeed Al-Zahrani', 'M'), ('Amadou Moutari', 'M'), ('Peter Nworah', 'M'), ('Saeed Al-Qarni', 'M'), ('Mohammad Fouad', 'F')]",,
4,635871,Al Baten,Al-Ahli Jeddah,0.0,1.0,Al-Batin FC Stadium,Khaled Al Teris,1,2020-10-18T18:00:00+03:00,2020/2021,Match Finished,José Garrido,4-3-2-1,"[('Mazyad Al Enazi', 'G'), ('Saad Al Khayri', 'D'), ('Renato Chaves', 'D'), ('Xandro Schenk', 'D'), ('Hassan Mohammed Raghfawi', 'D'), ('Dhaifallah Al-Qarni', 'M'), ('Khaleem Hyland', 'M'), ('Youssef El Jebli', 'M'), ('Yousef Al-Shammari', 'M'), ('Mohamed Rayhi', 'M'), ('Hassan Sharahili', 'F')]",V. Milojević,4-2-3-1,"[('Yasser Al-Mosailem', 'G'), ('Hassoun', 'D'), ('Mohammed Al-Khabrani', 'D'), ('Motaz Hawsawi', 'D'), ('Lucas Lima', 'D'), ('Ali Al-Asmari', 'M'), ('Driss Fettouhi', 'M'), ('Sultan Mandash', 'M'), ('Marko Marin', 'M'), ('Salman Al-Muwashar', 'M'), ('Omar Al-Soma', 'F')]",,
5,635872,Al-Nassr,Al-Fateh,1.0,2.0,Prince Faisal bin Fahd Stadium,Majed Al Shamrani,1,2020-10-18T18:00:00+03:00,2020/2021,Match Finished,Rui Vitória,4-2-3-1,"[('Brad Jones', 'G'), ('Osama Al Khalaf', 'D'), ('Maicon', 'D'), ('Abdullah Madu', 'D'), ('Jin-su Kim', 'D'), ('Abdullah Alkhaibari', 'M'), ('Abdulmajeed Al-Sulaiheem', 'M'), ('Nordin Amrabat', 'M'), ('Gonzalo Martinez', 'M'), ('Khalid Al-Ghannam', 'M'), ('Abdulfattah Adam Mohammed', 'F')]",Y. Ferrera,4-4-2,"[('Maksym Koval', 'G'), ('Nawaf Boushal', 'D'), ('Amaar Al Dohaim', 'D'), ('Marwane Saadane', 'D'), ('Hassan Al-Habib', 'D'), ('Mourad Batna', 'M'), ('Ali Al-Zaqan', 'M'), ('Mohammed Al-Fuhaid', 'M'), ('Tawfiq Buhumaid', 'M'), ('Mitchell Te Vrede', 'F'), ('Sofiane Bendebka', 'F')]",,
6,635873,Dhamk,Al-Raed,2.0,3.0,Prince Sultan bin Abdulaziz Sports City Stadium,Shukri Al Hanfosh,1,2020-10-18T18:20:00+03:00,2020/2021,Match Finished,N. Zekri,4-2-3-1,"[('Moustapha Zeghba', 'G'), ('Tariq Mohammed', 'D'), ('Farouk Chafaï', 'D'), ('Cristian Lema', 'D'), ('Abdulrahman Khalid Al Rio', 'D'), ('Abdullah Khtab', 'M'), ('Ayman Al-Hujaili', 'M'), ('Ibrahim Chenihi', 'M'), ('Bilel Saidani', 'M'), ('Mohammed Harzan Mohsen', 'M'), ('Emilio Zelaya', 'F')]",B. Hasi,4-3-3,"[('Ahmad Al Harbi', 'G'), ('Mohammed Al-Dosari', 'D'), ('Aqel Al-Sahbi', 'D'), ('Nemanja Miletić', 'D'), ('Abdullah Al-Fahad', 'D'), ('Arnaud Djoum', 'M'), ('Jalal Daoudi', 'M'), ('Sultan Farhan', 'M'), ('Abdullah Almogren', 'F'), ('Mohamed Al-Sahli', 'F'), ('Ahmad Zain', 'F')]",,
7,635874,Al-Ittihad FC,Al-Ettifaq,1.0,2.0,King Abdullah Sports City,Turki Al Khudair,1,2020-10-18T20:00:00+03:00,2020/2021,Match Finished,Fábio Carille,4-4-2,"[('Marcelo Grohe', 'G'), ('Saud Abdulhamid', 'D'), ('Ziyad Al-Sahafi', 'D'), ('Bruno Uvini', 'D'), ('Hamdan Al-Shamrani', 'D'), ('Abdulrahman Alobud', 'M'), ('Karim El Ahmadi', 'M'), ('Bruno Henrique', 'M'), ('Fahad Al Muwallad', 'M'), ('Romarinho', 'F'), ('Abdulaziz Al-Bishi', 'F')]",Khaled Al Atawi,4-4-2,"[(""Raïs M'Bolhi"", 'G'), ('Saleh Al Qumayzi', 'D'), ('Saeed Al-Rabiei', 'D'), ('Karol Mets', 'D'), ('Ail Fuad', 'D'), ('Alhwsawi Sanousi Mohammed', 'M'), ('Filip Kiss', 'M'), ('Souza', 'M'), ('Hazzaa Al-Hazzaa', 'M'), ('Souleymane Doukara', 'F'), ('Abdullah Al-Salem', 'F')]",,
8,635875,Abha,Al-Hilal Saudi FC,1.0,1.0,Prince Sultan bin Abdulaziz Sports City Stadium,Majed Al Shamrani,2,2020-10-22T15:40:00+03:00,2020/2021,Match Finished,A. Chebbi,4-2-3-1,"[('Abdelali Mhamdi', 'G'), ('Saeed Al Hamsal', 'D'), ('Mehdi Tahrat', 'D'), ('Amine Attouchi', 'D'), ('Sari Amro', 'D'), ('Karim Aouadhi', 'M'), ('Riyadh Sharahili', 'M'), ('Saleh Al-Amri', 'M'), ('Saad Bguir', 'M'), ('Craig Goodwin', 'M'), ('Carlos Strandberg', 'F')]",R. Lucescu,4-2-3-1,"[('Abdullah Al-Mayouf', 'G'), ('Mohammed Al-Burayk', 'D'), ('Hyun Soo Jang', 'D'), ('Ali Al-Boleahi', 'D'), ('Yasir Al-Shahrani', 'D'), ('Mohamed Kanno', 'M'), ('Gustavo Cuéllar', 'M'), ('André Carrillo', 'M'), ('Sebastian Giovinco', 'M'), ('Ahmed Ashraf', 'M'), ('Saleh Al-Shehri', 'F')]",,
9,635876,Al Taawon,Al-Nassr,1.0,0.0,King Abdullah bin Abdulaziz City,Mohammed Al Hoaish,2,2020-10-22T18:05:00+03:00,2020/2021,Match Finished,Abdullah Assiri,4-2-3-1,"[('Cássio', 'G'), ('Yaseen Barnawi', 'D'), ('Ahmad Asiri', 'D'), ('Iago Santos', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Ryan Al-Mousa', 'M'), ('Sandro Manoel', 'M'), ('Mitchell Duke', 'M'), ('Cedric Amissi', 'M'), ('Abdullah Al-Jawaey', 'M'), ('Léandre Tawamba', 'F')]",Rui Vitória,4-2-3-1,"[('Brad Jones', 'G'), ('Jin-su Kim', 'D'), ('Abdulelah Alamri', 'D'), ('Abdullah Madu', 'D'), ('Abdulrahman Al-Obaid', 'D'), ('Ali Mukhtar', 'M'), ('Abdulmajeed Al-Sulaiheem', 'M'), ('Ayman Yahya', 'M'), ('Ali Al-Hassan', 'M'), ('Khalid Al-Ghannam', 'M'), ('Ahmed Musa', 'F')]",,
