,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players
0,151695,Al-Ettifaq,Al-Raed,1,1,Prince Mohamed Bin Fahd Stadium,,2018-08-30T18:40:00+03:00,2018/2019,L. Ramos,B. Hasi,4-2-3-1,4-2-3-1,"[(""R. M'Bolhi"", 'G'), ('R. Arias', 'D'), ('Hussein Al Sayed', 'D'), ('Saeed Al Yami', None), ('F. Kiss', 'M'), ('B. Alemán', 'M'), ('Omar Al Senien', 'D'), ('C. Guanca', 'M'), ('F. Ben Youssef', 'F'), ('Mohammed Al Kuwaykibi', 'M'), ('Abdulrahman Al Obod', 'F')]","[('A. Doukha', 'G'), ('H. Belkaroui', 'D'), ('Mohammed Al Amri', None), ('Abdullah Al Fahad', 'D'), ('Abdullah Al Shamekh', 'D'), ('A. Hammoudan', 'M'), ('Daniel Amora', 'M'), ('Sultan Al Sawadi', 'M'), ('Sultan Farhan', 'M'), ('F. Hasani', 'M'), ('Saleh Al Shehri', None)]"
1,151696,Al-Hazm,Al Wehda Club,0,0,King Abdul Aziz Stadium,,2018-08-30T19:05:00+03:00,2018/2019,D. Isăilă,Fábio Carille,4-2-3-1,4-4-2,"[('M. Asselah', None), ('Alemão', None), ('Khaled Al Barakah', None), ('Saif Al Qeshtah', None), ('Muralha', None), ('Rodolfo', None), ('Yousef Qalfa', None), ('Masood Bekheet', None), ('J. Pajoy', None), ('G. Álvarez', None), ('Faris Al Alayaf', None)]","[('Mohamed Awad', None), ('Osama Hawsawi', None), ('Renato Chaves', None), ('Abdullah Al Zoari', None), ('Waleed Bakshween', None), ('Anselmo', None), ('E. Çolak', None), ('R. Otero', None), ('Faisal Darwish', None), ('Marcos Guilherme', None), ('Saleh Al Jamaan', None)]"
2,151697,Ohod,Al-Nassr,1,2,Prince Mohammed bin Abdul Aziz Stadium,,2018-08-30T19:15:00+03:00,2018/2019,F. Arce,D. Carreño,4-2-3-1,4-2-3-1,"[('Z. Laaroubi', 'G'), ('Hussein Abdul Ghani', None), ('Apodi', 'D'), ('A. Teikeu', 'D'), ('E. Sipović', 'D'), ('Tamer Haj Mohamad', 'M'), ('C. Ohene', 'M'), ('Islam Seraj', 'F'), ('Mohmad Atiah', 'M'), ('Ribamar', 'F'), ('Mohameed Eldaw', 'M')]","[('B. Jones', 'G'), ('Bruno Uvini', 'D'), ('Omar Hawsawi', 'D'), ('Giuliano', 'M'), ('Yehya Al Shehri', 'M'), ('Petros', 'M'), ('Ibrahim Ghaleb', 'M'), ('Hamed Al Mansour', 'D'), ('Sultan Al Ghanam', 'D'), ('Mohammad Al Sahlawi', 'F'), ('A. Musa', 'F')]"
3,151698,Al-Qadisiyah FC,Al-Fateh,0,0,Prince Saud bin Jalawi Stadium,"Mark Clattenburg, England",2018-08-31T18:40:00+03:00,2018/2019,A. Stanojević,F. Al Jabal,4-4-2,4-2-3-1,"[('J. Duncan', 'G'), ('Adnan Falatah', None), ('R. Williams', 'D'), ('Mohammed Al Khabrani', None), ('Yaseen Barnawi', 'D'), ('Élton', 'M'), ('Yago', 'M'), ('N. Hervé', 'M'), ('Jorginho', 'M'), ('Bismark', 'M'), ('Haroune Camara', 'F')]","[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Majed Hazazi', 'D'), ('M. Naamani', 'D'), ('Ali Alawjami', None), ('T. Nzuzi', 'M'), ('Mohammed Alfehaid', 'M'), ('A. Oueslati', 'M'), ('I. Chenihi', 'M'), ('Mansour Hamzi', 'M'), ('Alkhali Bangoura', 'M')]"
4,151699,Al-Hilal Saudi FC,Al-Fayha,1,0,King Fahd Stadium,,2018-08-31T18:55:00+03:00,2018/2019,Jorge Jesus,G. Costas,4-1-4-1,4-3-3,"[('Ali Al Habsi', 'G'), ('Botía', 'D'), ('Yasir Al Shahrani', 'D'), ('Mohammed Al Burayk', 'D'), ('Ali Albulayhi', 'D'), ('Omar Abdulrahman', 'M'), ('Carlos Eduardo', 'M'), ('A. Carrillo', 'M'), ('Salem Al Dawsari', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F')]","[('C. Bonilla', 'G'), ('Naldo', 'M'), ('Gêgê', 'D'), ('Abdullah Kano', None), ('Sami Al Khaibari', None), ('Omar Hamad Al Aowda', 'D'), ('A. Tziolis', 'M'), ('Tawfiq Buhumaid', 'D'), ('D. Moreno', 'M'), ('Hassen Jaaferi', 'M'), ('R. Fernández', 'F')]"
5,151700,Al Shabab,Al-Ittihad FC,1,0,Prince Faisal bin Fahd Stadium,,2018-08-31T18:55:00+03:00,2018/2019,M. Şumudică,R. Díaz,4-4-2,4-3-3,"[('F. Ben Mustapha', 'G'), ('D. Benlamri', 'D'), ('V. Găman', 'D'), ('Saleh Al Qumayzi', 'D'), ('Euller', 'D'), ('Hattan Babhir', 'M'), ('Luiz Antônio', 'M'), ('Abdullah Alkhaibari', 'M'), ('C. Budescu', 'F'), ('Nasser Al Shamrani', 'F'), ('Arthur Caike', 'M')]","[('Assaf Al Qarni', 'G'), ('M. Jurman', 'D'), ('Thiago Carleto', 'M'), ('Ahmad Asiri', 'D'), ('K. El Ahmadi', 'M'), ('C. Villanueva', 'M'), ('Romarinho', 'F'), ('Jonas', 'M'), ('Omar Al-Mazial', None), ('A. Pešić', 'F'), ('Fahad Al Muwallad', 'F')]"
6,151701,Al-Faisaly FC,Al Baten,2,2,Prince Salman Bin Abdulaziz Sport City Stadium,,2018-08-31T19:00:00+03:00,2018/2019,M. Rednic,F. Vercauteren,4-4-2,5-4-1,"[('Mustafa Malayekah', 'G'), ('A. Puljić', 'D'), ('Igor Rossi', 'D'), ('Aqeel Al Sahbi', 'D'), ('K. Hyland', 'M'), ('Omar Abdulaziz', 'M'), ('Abdulaziz Al Bishi', None), ('Hamdan Al Shamrani', 'D'), ('Rogerinho', 'M'), ('Mohammed Majrashi', 'F'), ('D. Calderón', 'F')]","[('Adriano Facchini', 'G'), ('Lucas', 'D'), ('Sultan Msarhi', None), ('João Gabriel', 'D'), ('Bandar Al Mutairi', 'D'), ('J. Arango', 'M'), ('Baraka', 'M'), ('Majed Kanabah', 'M'), ('Mhana Al Enazi', 'D'), ('A. Bouhaddouz', 'F'), ('Fahad Al Johani', 'M')]"
7,151702,Al-Ahli Jeddah,Al Taawon,1,1,King Abdullah Sports City,B. Kuipers,2018-09-01T19:20:00+03:00,2018/2019,P. Guede,Pedro Emanuel,4-3-1-2,5-3-2,"[('Mohammed Al Owais', 'G'), ('Alexis', 'D'), ('Mohamed Abdul Shafy', 'D'), ('Motaz Hawsawi', 'D'), ('Saeed Al Mowalad', 'D'), ('P. Díaz', 'D'), ('José Jurado', 'M'), ('Souza', 'M'), ('Hussain Al Mogahwi', 'M'), ('Djaniny', 'F'), ('Omar Al Somah', 'F')]","[('Cássio', None), ('Jufain Al Bishi', 'D'), ('Ricardo Machado', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Talal Alabsi', 'D'), ('Saeed Al Dosari', 'M'), ('Madallah Alolayan', 'D'), ('Ryan Al Mousa', 'M'), ('Héldon', 'M'), ('Jhonnattann', 'M'), ('L. Tawamba Kana', 'F')]"
8,151703,Al-Ettifaq,Al Baten,3,2,Prince Mohamed Bin Fahd Stadium,"Mark Clattenburg, England",2018-09-13T18:25:00+03:00,2018/2019,L. Ramos,F. Vercauteren,4-4-2,4-2-3-1,"[(""R. M'Bolhi"", None), ('R. Arias', None), ('Hussein Al Sayed', None), ('Ahmad Al Hbeab', None), ('Ali Abdullah Hazzazi', None), ('F. Kiss', None), ('B. Alemán', None), ('Omar Al Senien', None), ('C. Guanca', None), ('F. Ben Youssef', None), ('Abdulrahman Al Obod', None)]","[('Adriano Facchini', None), ('Lucas', None), ('Sultan Msarhi', None), ('Bandar Al Mutairi', None), ('J. Arango', None), ('Baraka', None), ('Majed Kanabah', None), ('Mhana Al Enazi', None), ('Abdulrahman Al Dhifeeri', None), ('A. Bouhaddouz', None), ('Crysan', None)]"
9,151704,Al-Fateh,Al Wehda Club,0,0,Prince Abdullah bin Jalawi Stadium,"Anastasios Sidiropoulos, Greece",2018-09-13T18:30:00+03:00,2018/2019,F. Al Jabal,Fábio Carille,4-2-3-1,4-3-3,"[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Majed Hazazi', 'D'), ('M. Naamani', 'D'), ('Ali Alawjami', None), ('Mohammed Alfehaid', 'M'), ('A. Oueslati', 'M'), ('I. Chenihi', 'M'), ('Mohammed Al Majhad', 'M'), ('Ali Al Hassan', 'M'), ('Mansour Hamzi', 'M')]","[('Mohamed Awad', 'G'), ('Osama Hawsawi', 'D'), ('Renato Chaves', 'D'), ('Abdullah Al Zoari', 'D'), ('Waleed Bakshween', 'M'), ('Anselmo', 'M'), ('E. Çolak', 'M'), ('Faisal Darwish', 'D'), ('Marcos Guilherme', 'M'), ('Fernandão', 'F'), ('Saleh Al Jamaan', 'F')]"
