,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status
0,234777,Al-Nassr,Dhamk,2,0,King Fahd International Stadium,M. Conger,2019-08-22T19:00:00+03:00,2019/2020,,,,,,,1,Match Finished
1,234778,Al-Ahli Jeddah,Al-Adalah,1,1,King Abdullah Sports City,B. Gassama,2019-08-22T20:50:00+03:00,2019/2020,,,,,,,1,Match Finished
2,234779,Al-Hilal Saudi FC,Abha,4,2,King Saud University Stadium,D. Higler,2019-08-23T19:00:00+03:00,2019/2020,,,,,,,1,Match Finished
3,234780,Al Taawon,Al-Hazm,1,1,King Abdullah Sport City Stadium,Luis Godinho,2019-08-23T19:10:00+03:00,2019/2020,,,,,,,1,Match Finished
4,234781,Al-Ittihad FC,Al-Raed,3,1,King Abdullah Sports City,S. Moen,2019-08-23T20:50:00+03:00,2019/2020,,,,,,,1,Match Finished
5,234782,Al-Fateh,Al Shabab,1,2,Prince Abdullah bin Jalawi Sports City Stadium,M. van den Kerkhof,2019-08-24T18:50:00+03:00,2019/2020,,,,,,,1,Match Finished
6,234783,Al-Faisaly FC,Al-Fayha,0,0,Al Majma'ah Sports City Stadium,M. Conger,2019-08-24T19:05:00+03:00,2019/2020,,,,,,,1,Match Finished
7,234784,Al Wehda Club,Al-Ettifaq,0,2,King Abdul Aziz Stadium,B. Gassama,2019-08-24T20:50:00+03:00,2019/2020,,,,,,,1,Match Finished
8,234785,Al-Adalah,Dhamk,4,0,Prince Abdullah bin Jalawi Sports City Stadium,D. Makkelie,2019-08-29T18:45:00+03:00,2019/2020,,,,,,,2,Match Finished
9,234786,Al-Fayha,Al-Hazm,2,1,Al Majma'ah Sports City Stadium,D. Skomina,2019-08-29T20:20:00+03:00,2019/2020,,,,,,,2,Match Finished
10,234787,Al Shabab,Al-Faisaly FC,0,0,King Fahd International Stadium,V. Kassai,2019-08-30T18:55:00+03:00,2019/2020,,,,,,,2,Match Finished
11,234788,Al Wehda Club,Abha,1,2,King Abdul Aziz Stadium,Jorge de Sousa,2019-08-30T20:40:00+03:00,2019/2020,,,,,,,2,Match Finished
12,234789,Al-Fateh,Al-Nassr,0,1,Prince Abdullah bin Jalawi Sports City Stadium,O. Hațegan,2019-08-30T20:40:00+03:00,2019/2020,,,,,,,2,Match Finished
13,234790,Al-Ettifaq,Al-Ahli Jeddah,1,2,Prince Mohamed bin Fahd Stadium,D. Makkelie,2019-08-31T18:40:00+03:00,2019/2020,,,,,,,2,Match Finished
