,fixture_id,home_team,away_team,home_goals,away_goals,venue,referee,date,season,home_coach,away_coach,home_formation,away_formation,home_players,away_players,round,status,H_avg_ratings,A_avg_ratings
0,234777,Al-Nassr,Dhamk,2.0,0.0,King Fahd International Stadium,M. Conger,2019-08-22T19:00:00+03:00,2019/2020,Rui Vitória,M. Kouki,4-2-3-1,4-3-3,"[('B. Jones', 'G'), ('Maicon', 'D'), ('Abdulrahman Al Obaid', 'D'), ('Abdullah Madu', 'D'), ('Sultan Al Ghanam', 'D'), ('Giuliano', 'M'), ('Abdulrahman Aldawsari', 'M'), ('Abdullah Alkhaibari', 'M'), ('N. Amrabat', 'M'), ('A. Musa', 'M'), ('A. Hamdallah', 'F')]","[('C. Rahmani', 'G'), ('Jorge Fellipe', 'D'), ('Majed Hazazi', 'D'), ('B. Sarr', 'M'), ('Hassan Raghfawi', 'D'), ('Mohammed Abusabaan', 'M'), ('Mohanad Al Najai', 'M'), ('A. Kouakou', 'D'), ('M. Iajour', 'F'), ('Z. Hadraf', 'F'), ('Saeed Hzam', 'F')]",1,Match Finished,7.27,6.63
1,234778,Al-Ahli Jeddah,Al-Adalah,1.0,1.0,King Abdullah Sports City,B. Gassama,2019-08-22T20:50:00+03:00,2019/2020,B. Ivanković,S. Kasri,4-4-2,4-3-3,"[('Mohammed Al-Owais', 'G'), ('Hussein Abdul Ghani', 'D'), ('E. Zukanović', 'D'), ('Mohammed Al Fatil', 'D'), ('Saeed Al Mowalad', 'D'), ('Josef de Souza', 'M'), ('D. Aleksić', 'F'), ('E. Sarić', 'M'), ('Salman Al Moasher', 'M'), ('Djaniny Tavares', 'F'), ('Abdulfattah Asiri', 'M')]","[('A. Mathlouthi', 'G'), ('A. Ali Guechi', 'D'), ('Mortada Al Barrih', 'D'), ('Abdullah Al Yousef', 'D'), ('Radhi Al Radhi', 'D'), ('Y. Fouzai', 'F'), ('Ahmed Al Nazera', 'F'), ('Nader Al Mowalad', 'M'), ('Abdullah Al-Humayan', 'M'), ('M. Biteghé', 'M'), ('C. Andriamatsinoro', 'F')]",1,Match Finished,6.97,6.84
2,234779,Al-Hilal Saudi FC,Abha,4.0,2.0,King Saud University Stadium,D. Higler,2019-08-23T19:00:00+03:00,2019/2020,R. Lucescu,A. Chebbi,4-2-3-1,4-2-3-1,"[('Abdullah Al Maiouf', 'G'), ('Mohammed Jahfali', 'D'), ('Yasir Al Shahrani', 'D'), ('Jang Hyun-Soo', 'D'), ('Hasan Kadesh', 'D'), ('Carlos Eduardo', 'M'), ('Hattan Bahebri', 'M'), ('Abdullah Otayf', 'M'), ('Mohammed Kanoo', 'M'), ('B. Gomis', 'F'), ('S. Giovinco', 'M')]","[(""A. M'Hamdi"", 'G'), ('Karam Barnawi', 'D'), ('Ahmad Al Hbeab', 'D'), ('A. Atouchi', 'D'), ('Khalid Al-Khathlan', 'D'), ('K.  Aouadhi', 'M'), ('Khaled Al Zealaiy', None), ('R. Gabriel', 'M'), ('S. Bguir', 'M'), ('Sumayhan Alnabit', 'M'), ('F. Andriatsima', 'F')]",1,Match Finished,7.01,6.51
3,234780,Al Taawon,Al-Hazm,1.0,1.0,King Abdullah Sport City Stadium,Luis Godinho,2019-08-23T19:10:00+03:00,2019/2020,Paulo Sérgio,D. Isăilă,4-4-2,4-2-3-1,"[('Cássio', 'G'), ('Ricardo Machado', 'D'), ('Ibrahim Al Zubaidi', 'D'), ('Talal Alabsi', 'D'), ('Yaseen Barnawi', 'D'), ('Sandro Manoel', 'M'), ('Nildo Petrolina', 'M'), ('C. Amissi', 'M'), ('Rabeaa Sefiani', 'F'), ('Héldon', 'M'), ('L. Tawamba Kana', 'F')]","[('M. Asselah', 'G'), ('Naif Al-Mousa', 'D'), ('Alemão', 'D'), ('Saif Hussain', 'D'), ('D. Fettouhi', 'M'), ('I. Tandia', 'M'), ('Muralha', 'M'), ('Hassan Al-Habib', 'M'), ('Masood Bekheet', 'D'), ('Mansor Hamzi', 'M'), ('Y. Omar', 'F')]",1,Match Finished,6.58,6.76
4,234781,Al-Ittihad FC,Al-Raed,3.0,1.0,King Abdullah Sports City,S. Moen,2019-08-23T20:50:00+03:00,2019/2020,J. Sierra,B. Hasi,4-3-3,4-3-3,"[('Fawaz Al Qarni', 'G'), ('M. da Costa', 'D'), ('Ziyad Al Sahafi', 'D'), ('Hamdan Al Shamrani', 'D'), ('Saud Abdul Hamid', 'D'), ('K. El Ahmadi', 'M'), ('L. Jiménez', 'F'), ('C. Villanueva', 'M'), ('E. Vecchio', 'M'), ('A. Prijović', 'F'), ('Romarinho', 'F')]","[('A. Doukha', 'G'), ('Hussein Al Shuwaish', 'D'), ('Mohammed Al Amri', 'D'), ('Abdullah Al Fahad', 'D'), ('Mohammed Al-Shoraimi', 'D'), ('A. Djoum', 'M'), ('Sultan Al Sawadi', 'F'), ('M. Fouzair', 'F'), ('Sultan Farhan', 'M'), ('Mohamed Al Sahli', 'F'), ('J. Daoudi', 'M')]",1,Match Finished,7.01,6.61
5,234782,Al-Fateh,Al Shabab,1.0,2.0,Prince Abdullah bin Jalawi Sports City Stadium,M. van den Kerkhof,2019-08-24T18:50:00+03:00,2019/2020,F. Al Jabal,J. Almirón,4-2-3-1,4-2-3-1,"[('M. Koval', 'G'), ('M. Aguirregaray', 'D'), ('Ali Alawjami', 'D'), ('Mohammed Naji', 'D'), ('Mohammed Alfehaid', 'M'), ('Tawfiq Buhumaid', 'D'), ('A. Oueslati', 'M'), ('M. Saadane', 'M'), ('M. te Vrede', 'F'), ('Ali Al Zaqan', 'M'), ('Mohammed Al-Dhaw', 'M')]","[('F. Ben Mustapha', 'G'), ('Mohammed Salem', 'D'), ('Hassan Muath Fallatah', 'D'), ('Ahmed Sharahili', 'D'), ('Abdullah Al Shamekh', 'D'), ('D. Moreno', 'M'), ('Abdulmajeed Al Sulaiheem', 'M'), ('Nasser Al Omran', 'M'), ('Sebá', 'M'), ('C. Guanca', 'M'), ('Abdullah Alhamddan', 'F')]",1,Match Finished,6.66,6.56
6,234783,Al-Faisaly FC,Al-Fayha,0.0,0.0,Al Majma'ah Sports City Stadium,M. Conger,2019-08-24T19:05:00+03:00,2019/2020,Péricles Chamusca,Jorge Simão,4-2-3-1,4-2-3-1,"[('Mustafa Malayekah', 'G'), ('Igor Rossi', 'D'), ('Raphael Silva', 'D'), ('Mohammed Qassem Al Nakhli', 'D'), ('R. Bonevacia', 'M'), ('Awadh Khrees', 'D'), ('Luisinho', 'M'), ('Mishari Al Thmali', 'M'), ('Hussain Al Monassar', 'M'), ('William', 'F'), ('Khalid Al Kabi', 'M')]","[(""Amer Shafi'"", 'G'), ('Gêgê', 'D'), ('Omar Al-Mazial', 'D'), ('Sami Al Khaibari', 'D'), ('Hani Al Sibyani', 'D'), ('Neto', 'M'), ('Rafael Assis', 'M'), ('Abdulkarim Al Qahtani', 'M'), ('S. Owusu', 'M'), ('R. Fernández', 'F'), ('Arsénio', 'M')]",1,Match Finished,7.0,6.69
7,234784,Al Wehda Club,Al-Ettifaq,0.0,2.0,King Abdul Aziz Stadium,B. Gassama,2019-08-24T20:50:00+03:00,2019/2020,M. Cvitanović,Khaled Al Atawi,4-2-3-1,4-2-3-1,"[('M. Zeghba', 'G'), ('K. Adénon', 'D'), ('Sari Amro', 'D'), ('Abdulrahman Al Rio', 'D'), ('Waleed Bakshween', 'M'), ('Anselmo', 'M'), ('E. Çolak', 'M'), ('Fawaz Al Sagourq', 'D'), ('C. Goodwin', 'M'), ('Y. Niakaté', 'F'), ('Marcos Guilherme', 'M')]","[(""R. M'Bolhi"", 'G'), ('O. Haddadi', 'D'), ('C. Yamberé', 'D'), ('Saad Al Khayri', 'D'), ('Rogerinho', 'M'), ('F. Kiss', 'D'), ('Ali Abdullah Hazzazi', 'M'), ('Fwaz Altryes', 'M'), ('Hamed Al Ghamdi', 'F'), ('Ibrahim Mahnashi', 'M'), ('Mohammed Al Kuwaykibi', 'M')]",1,Match Finished,6.72,6.99
8,234785,Al-Adalah,Dhamk,4.0,0.0,Prince Abdullah bin Jalawi Sports City Stadium,D. Makkelie,2019-08-29T18:45:00+03:00,2019/2020,S. Kasri,M. Kouki,4-3-3,4-3-3,"[('A. Mathlouthi', 'G'), ('A. Ali Guechi', 'D'), ('Mortada Al Barrih', 'D'), ('Abdullah Al Yousef', 'D'), ('Radhi Al Radhi', 'D'), ('Y. Fouzai', 'F'), ('Ahmed Al Nazera', 'F'), ('A. Cissé', 'M'), ('Abdullah Al-Humayan', 'M'), ('M. Biteghé', 'M'), ('C. Andriamatsinoro', 'F')]","[('C. Rahmani', 'G'), ('Jorge Fellipe', 'D'), ('B. Sarr', 'M'), ('Hamad Al Jayzani', 'D'), ('Sami Kassar', 'D'), ('Mohamed Hassan', 'F'), ('Mohanad Al Najai', 'M'), ('A. Kouakou', 'D'), ('Abdulaziz Al Shahrani', 'M'), ('M. Iajour', 'F'), ('Z. Hadraf', 'F')]",2,Match Finished,7.16,6.49
9,234786,Al-Fayha,Al-Hazm,2.0,1.0,Al Majma'ah Sports City Stadium,D. Skomina,2019-08-29T20:20:00+03:00,2019/2020,Jorge Simão,D. Isăilă,4-2-3-1,4-2-3-1,"[(""Amer Shafi'"", 'G'), ('Gêgê', 'D'), ('Omar Al-Mazial', 'D'), ('Sami Al Khaibari', 'D'), ('Hani Al Sibyani', 'D'), ('Neto', 'M'), ('Rafael Assis', 'M'), ('Abdulkarim Al Qahtani', 'M'), ('S. Owusu', 'M'), ('R. Fernández', 'F'), ('Arsénio', 'M')]","[('M. Asselah', 'G'), ('Naif Al-Mousa', 'D'), ('Alemão', 'D'), ('Ahmed Al-Shamrani', 'D'), ('Saif Hussain', 'D'), ('D. Fettouhi', 'M'), ('I. Tandia', 'M'), ('Muralha', 'M'), ('Hassan Al-Habib', 'M'), ('Mansor Hamzi', 'M'), ('Abdulrahman Al Yami', 'F')]",2,Match Finished,6.76,6.7
